condition,episode,val_auc
Urgency ON (Contribution A),1,0.9921165381319623
Urgency ON (Contribution A),2,0.9928401409121204
Urgency ON (Contribution A),3,0.9948395696467677
Urgency ON (Contribution A),4,0.9935066171570027
Urgency ON (Contribution A),5,0.9951632866799962
Urgency OFF (Flat Scale),1,0.9943063886508617
Urgency OFF (Flat Scale),2,0.9943254308292869
Urgency OFF (Flat Scale),3,0.9954489193563744
Urgency OFF (Flat Scale),4,0.9946396267733029
Urgency OFF (Flat Scale),5,0.9940969246881844
