strategy,queries,val_auc,test_auc,n_labels
random,0,0.87520,0.88257,100
random,10,0.84452,0.84947,110
random,20,0.90096,0.91399,120
random,30,0.85326,0.88768,130
random,40,0.89259,0.87359,140
random,50,0.81822,0.82139,150
random,60,0.84901,0.82383,160
random,70,0.94200,0.92646,170
random,80,0.84094,0.83466,180
random,90,0.95043,0.93111,190
random,100,0.97620,0.94235,200
random,110,0.97075,0.94645,210
random,120,0.98355,0.95355,220
random,130,0.98117,0.95260,230
random,140,0.97726,0.94391,240
random,150,0.90645,0.91003,250
random,160,0.98484,0.94806,260
random,170,0.98490,0.95084,270
random,180,0.98713,0.95412,280
random,190,0.98713,0.95410,290
random,200,0.98484,0.94938,300
entropy,0,0.87520,0.88257,100
entropy,10,0.87183,0.86579,110
entropy,20,0.93057,0.93197,120
entropy,30,0.89133,0.89574,130
entropy,40,0.82220,0.80897,140
entropy,50,0.95116,0.93348,150
entropy,60,0.91481,0.90846,160
entropy,70,0.89512,0.90369,170
entropy,80,0.87411,0.89402,180
entropy,90,0.87097,0.87804,190
entropy,100,0.95615,0.94638,200
entropy,110,0.97427,0.95071,210
entropy,120,0.98079,0.95616,220
entropy,130,0.98277,0.94855,230
entropy,140,0.97732,0.94357,240
entropy,150,0.98320,0.95094,250
entropy,160,0.98081,0.95179,260
entropy,170,0.98520,0.96001,270
entropy,180,0.98854,0.94782,280
entropy,190,0.99170,0.95511,290
entropy,200,0.98831,0.95790,300
RL (DQN),0,0.87520,0.88257,100
