strategy,step,queries,val_auc,test_auc,n_labels
Random,0,0,0.875198,0.882566,100
Random,1,10,0.844521,0.849474,110
Random,2,20,0.900962,0.913993,120
Random,3,30,0.853261,0.887684,130
Random,4,40,0.892593,0.873586,140
Random,5,50,0.818223,0.821395,150
Random,6,60,0.849015,0.823833,160
Random,7,70,0.941998,0.926463,170
Random,8,80,0.840941,0.834659,180
Random,9,90,0.950433,0.931114,190
Random,10,100,0.976197,0.942352,200
Random,11,110,0.970751,0.946450,210
Random,12,120,0.983548,0.953550,220
Random,13,130,0.981167,0.952602,230
Random,14,140,0.977264,0.943908,240
Random,15,150,0.906446,0.910026,250
Random,16,160,0.984842,0.948060,260
Random,17,170,0.984900,0.950844,270
Random,18,180,0.987127,0.954120,280
Random,19,190,0.987127,0.954098,290
Random,20,200,0.984842,0.949375,300
Margin,0,0,0.875198,0.882566,100
Margin,1,10,0.871827,0.865790,110
Margin,2,20,0.930572,0.931975,120
Margin,3,30,0.891326,0.895737,130
Margin,4,40,0.927963,0.912689,140
Margin,5,50,0.949633,0.932150,150
Margin,6,60,0.948072,0.935032,160
Margin,7,70,0.884328,0.893579,170
Margin,8,80,0.950890,0.930462,180
Margin,9,90,0.940455,0.923493,190
Margin,10,100,0.964296,0.942604,200
Margin,11,110,0.969761,0.941902,210
Margin,12,120,0.980406,0.948373,220
Margin,13,130,0.980253,0.935382,230
Margin,14,140,0.987089,0.956931,240
Margin,15,150,0.987318,0.960333,250
Margin,16,160,0.977283,0.947951,260
Margin,17,170,0.988441,0.957829,270
Margin,18,180,0.989203,0.957687,280
Margin,19,190,0.987680,0.957627,290
Margin,20,200,0.993716,0.956005,300
Entropy,0,0,0.875198,0.882566,100
Entropy,1,10,0.871827,0.865790,110
Entropy,2,20,0.930572,0.931975,120
Entropy,3,30,0.891326,0.895737,130
Entropy,4,40,0.822203,0.808974,140
Entropy,5,50,0.951157,0.933476,150
Entropy,6,60,0.914805,0.908459,160
Entropy,7,70,0.895116,0.903693,170
Entropy,8,80,0.874112,0.894017,180
Entropy,9,90,0.870970,0.878035,190
Entropy,10,100,0.956146,0.946384,200
Entropy,11,110,0.974274,0.950712,210
Entropy,12,120,0.980786,0.956158,220
Entropy,13,130,0.982767,0.948554,230
Entropy,14,140,0.977321,0.943568,240
Entropy,15,150,0.983205,0.950942,250
Entropy,16,160,0.980805,0.951786,260
Entropy,17,170,0.985204,0.960010,270
Entropy,18,180,0.988537,0.947819,280
Entropy,19,190,0.991698,0.955106,290
Entropy,20,200,0.988308,0.957901,300
BALD,0,0,0.875198,0.882566,100
BALD,1,10,0.835285,0.846822,110
BALD,2,20,0.835533,0.839009,120
BALD,3,30,0.892659,0.900855,130
BALD,4,40,0.855051,0.858805,140
BALD,5,50,0.929011,0.920118,150
BALD,6,60,0.889632,0.899627,160
BALD,7,70,0.938789,0.917653,170
BALD,8,80,0.812634,0.815527,180
BALD,9,90,0.869009,0.879641,190
BALD,10,100,0.950738,0.934084,200
BALD,11,110,0.970485,0.948356,210
BALD,12,120,0.844197,0.859281,220
BALD,13,130,0.970218,0.947556,230
BALD,14,140,0.973531,0.937673,240
BALD,15,150,0.979911,0.940478,250
BALD,16,160,0.980939,0.957424,260
BALD,17,170,0.984823,0.951545,270
BALD,18,180,0.983014,0.956471,280
BALD,19,190,0.982119,0.955380,290
BALD,20,200,0.986918,0.957375,300
DQN,0,0,0.875198,0.882566,100
Double DQN,0,0,0.875198,0.882566,100
Dueling DQN,0,0,0.875198,0.882566,100
