strategy,step,queries,val_auc,test_auc,n_labels
random,0,0,0.875198,0.882566,100
random,1,10,0.844521,0.849474,110
random,2,20,0.900962,0.913993,120
random,3,30,0.853261,0.887684,130
random,4,40,0.892593,0.873586,140
random,5,50,0.818223,0.821395,150
random,6,60,0.849015,0.823833,160
random,7,70,0.941998,0.926463,170
random,8,80,0.840941,0.834659,180
random,9,90,0.950433,0.931114,190
random,10,100,0.976197,0.942352,200
random,11,110,0.970751,0.946450,210
random,12,120,0.983548,0.953550,220
random,13,130,0.981167,0.952602,230
random,14,140,0.977264,0.943908,240
random,15,150,0.906446,0.910026,250
random,16,160,0.984842,0.948060,260
random,17,170,0.984900,0.950844,270
random,18,180,0.987127,0.954120,280
random,19,190,0.987127,0.954098,290
random,20,200,0.984842,0.949375,300
margin,0,0,0.875198,0.882566,100
margin,1,10,0.871827,0.865790,110
margin,2,20,0.930572,0.931975,120
margin,3,30,0.891326,0.895737,130
margin,4,40,0.927963,0.912689,140
margin,5,50,0.949633,0.932150,150
margin,6,60,0.948072,0.935032,160
margin,7,70,0.884328,0.893579,170
margin,8,80,0.950890,0.930462,180
margin,9,90,0.940455,0.923493,190
margin,10,100,0.964296,0.942604,200
margin,11,110,0.969761,0.941902,210
margin,12,120,0.980406,0.948373,220
margin,13,130,0.980253,0.935382,230
margin,14,140,0.987089,0.956931,240
margin,15,150,0.987318,0.960333,250
margin,16,160,0.977283,0.947951,260
margin,17,170,0.988441,0.957829,270
margin,18,180,0.989203,0.957687,280
margin,19,190,0.987680,0.957627,290
margin,20,200,0.993716,0.956005,300
entropy,0,0,0.875198,0.882566,100
entropy,1,10,0.871827,0.865790,110
entropy,2,20,0.930572,0.931975,120
entropy,3,30,0.891326,0.895737,130
entropy,4,40,0.822203,0.808974,140
entropy,5,50,0.951157,0.933476,150
entropy,6,60,0.914805,0.908459,160
entropy,7,70,0.895116,0.903693,170
entropy,8,80,0.874112,0.894017,180
entropy,9,90,0.870970,0.878035,190
entropy,10,100,0.956146,0.946384,200
entropy,11,110,0.974274,0.950712,210
entropy,12,120,0.980786,0.956158,220
entropy,13,130,0.982767,0.948554,230
entropy,14,140,0.977321,0.943568,240
entropy,15,150,0.983205,0.950942,250
entropy,16,160,0.980805,0.951786,260
entropy,17,170,0.985204,0.960010,270
entropy,18,180,0.988537,0.947819,280
entropy,19,190,0.991698,0.955106,290
entropy,20,200,0.988308,0.957901,300
bald,0,0,0.875198,0.882566,100
bald,1,10,0.835285,0.846822,110
bald,2,20,0.835533,0.839009,120
bald,3,30,0.892659,0.900855,130
bald,4,40,0.855051,0.858805,140
bald,5,50,0.929011,0.920118,150
bald,6,60,0.889632,0.899627,160
bald,7,70,0.938789,0.917653,170
bald,8,80,0.812634,0.815527,180
bald,9,90,0.869009,0.879641,190
bald,10,100,0.950738,0.934084,200
bald,11,110,0.970485,0.948356,210
bald,12,120,0.844197,0.859281,220
bald,13,130,0.970218,0.947556,230
bald,14,140,0.973531,0.937673,240
bald,15,150,0.979911,0.940478,250
bald,16,160,0.980939,0.957424,260
bald,17,170,0.984823,0.951545,270
bald,18,180,0.983014,0.956471,280
bald,19,190,0.982119,0.955380,290
bald,20,200,0.986918,0.957375,300
DQN,0,0,0.875198,0.882566,100
DQN,1,10,0.967095,0.938818,110
DQN,2,20,0.982177,0.954131,120
DQN,3,30,0.988556,0.955101,130
DQN,4,40,0.991412,0.953457,140
DQN,5,50,0.989451,0.950893,150
DQN,6,60,0.989336,0.957901,160
DQN,7,70,0.986556,0.953534,170
DQN,8,80,0.989946,0.949545,180
DQN,9,90,0.991288,0.952213,190
DQN,10,100,0.989622,0.950822,200
DQN,11,110,0.991164,0.945403,210
DQN,12,120,0.988879,0.943710,220
DQN,13,130,0.991602,0.946220,230
DQN,14,140,0.992764,0.948603,240
DQN,15,150,0.993983,0.946022,250
DQN,16,160,0.992859,0.950126,260
DQN,17,170,0.993526,0.941519,270
DQN,18,180,0.994421,0.935777,280
DQN,19,190,0.996153,0.939289,290
DQN,20,200,0.995525,0.946581,300
